"Multidimensional poverty index (MPI)"
"HDI Rank (2015)","Country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"121"," Iraq","","0.077","","","","","0.052","","","",""
"94"," Jamaica","","","","","","0.014","","0.011","","",""
"86"," Jordan","","","","","0.004","","","0.004","","",""
"56"," Kazakhstan","","0.007","","","","","0.004","","","",""
"146"," Kenya","","","","","0.226","","","","","0.166",""
"120"," Kyrgyzstan","","0.013","","","","","","0.006","","0.008",""
"138"," Lao People's Democratic Republic","","0.320","","","","","","0.186","","",""
"160"," Lesotho","","","","","0.227","","","","","",""
"177"," Liberia","","","0.459","","","","","","0.356","",""
"102"," Libya","","","0.005","","","","","","","",""
"158"," Madagascar","","","","","0.420","","","","","",""
"170"," Malawi","","","","","","0.332","","","","0.273",""
"105"," Maldives","","","","","0.008","","","","","",""
"175"," Mali","","0.533","","","","","","","0.456","",""
"157"," Mauritania","","","0.363","","","","0.291","","","",""
"77"," Mexico","","0.028","","","","","","0.024","","",""
"107"," Moldova (Republic of)","0.005","","","","","","","0.004","","",""
"92"," Mongolia","0.077","","","","","0.047","","","","",""
"48"," Montenegro","","0.012","","","","","","","0.002","",""
"123"," Morocco","","","","","","","0.069","","","",""
"181"," Mozambique","","","","","0.395","","0.390","","","",""
"125"," Namibia","","","0.200","","","","","","0.205","",""
"144"," Nepal","","0.314","","","","","0.197","","","0.116",""
"124"," Nicaragua","","","0.137","","","","0.088","","","",""
"187"," Niger","","0.677","","","","","","0.584","","",""
"152"," Nigeria","","","","0.294","","","0.239","","0.279","",""
"147"," Pakistan","","","0.218","","","","","","0.237","",""
"114"," Palestine, State of","","","0.007","","","0.007","","","","0.005",""
"87"," Peru","","","","0.069","","0.056","0.051","0.043","","",""
"116"," Philippines","","","","0.038","","","","","0.033","",""
"159"," Rwanda","0.481","","","","","0.352","","","","","0.254"
"92"," Saint Lucia","","","","","","","","0.003","","",""
"142"," Sao Tome and Principe","","","","","0.217","","","","","",""
"162"," Senegal","0.436","","","","","","0.390","","0.296","0.278",""
"66"," Serbia","","0.011","","","","0.001","","","","0.002",""
"179"," Sierra Leone","","","","0.451","","0.405","","","0.411","",""
"0"," Somalia","","0.500","","","","","","","","",""
"119"," South Africa","","","","0.039","","","","0.041","","",""
"181"," South Sudan","","","","","","0.551","","","","",""
"165"," Sudan","","","","","","0.290","","","","",""
"97"," Suriname","","0.044","","","","0.033","","","","",""
"148"," Swaziland","","","","","","0.113","","","","",""
"149"," Syrian Arab Republic","","0.024","","","0.028","","","","","",""
"129"," Tajikistan","0.059","","","","","","","0.031","","",""
"151"," Tanzania (United Republic of)","","","","","","0.335","","","","",""
"87"," Thailand","","0.004","","","","","","","","",""
"82"," The former Yugoslav Republic of Macedonia","0.013","","","","","","0.007","","","",""
"133"," Timor-Leste","","","","","","0.322","","","","",""
"166"," Togo","","0.277","","","","0.260","","","","0.242",""
"65"," Trinidad and Tobago","","0.007","","","","","","","","",""
"97"," Tunisia","","","","","","","","0.006","","",""
"111"," Turkmenistan","","0.011","","","","","","","","",""
"163"," Uganda","","0.399","","","","","0.359","","","",""
"84"," Ukraine","","","0.002","","","","","0.001","","",""
"105"," Uzbekistan","","0.013","","","","","","","","",""
"134"," Vanuatu","","","0.135","","","","","","","",""
"115"," Viet Nam","","","","","","","0.026","","","0.016",""
"168"," Yemen","","0.191","","","","","","","0.200","",""
"139"," Zambia","","","0.318","","","","","","","0.264",""
"154"," Zimbabwe","","0.193","","","","","0.181","","","0.128",""
"ll: Missing indicators on nutrition.kk: The HDRO specifications refer to somewhat modified definitions of deprivations in some indicators compared to the 2010 specifications. See Kovacevic and Calderon (2014) for details.mm: Refers to urban areas only oo: Missing indicator on child mortality.qq: Missing indicator on type of floor.pp: Missing indicator on cooking fuel.nn: Missing indicator on electricity. rr: Missing indicator on school attendance."
